Client Code,Client Name,Payee Code,Payee Name,Song Code,Song Title,Composers,Source Code,Source Name,Income Type,Income Type Name,Main Income Type Name,Catalogue No ,Units,Income Period,Percentage Collected by BMG,Amount Collected,Royalty Payout Percentage,Royalty Payable,Domestic Or Foreign Source Indicator,Foreign Source,Statement ID Year,Statement ID Number,Royalty Country Code,Royalty Country Description,Artist,ISRC,Album Or Production,Episode,License Number,Original Source As Received,Original Source,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088865,Realignment,Coupe/Downes,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,0.17,40,0.07,F,GEMA,26,587,DEU,Germany,,,/,Dances With Wolff/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6106016,Backronym,Groves,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.05,40,0.02,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6107006,Fallback,Coupe/Downes,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.3,40,0.12,F,GEMA,26,587,DEU,Germany,,,/,Episode 1/Singles Inferno,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6108755,Returning Home,Burns,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.02,40,0.01,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6188377,Lower The Sun,James,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,0.72,40,0.29,F,GEMA,26,587,DEU,Germany,,,/,Domination/Tour de France: Unchained,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6300950,Betrayed,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,1.58,40,0.63,F,GEMA,26,587,DEU,Germany,,,/,Money Talks/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6300950,Betrayed,Coupe/Downes,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,2.75,40,1.1,F,GEMA,26,587,DEU,Germany,,,/,Money Talks/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6303367,Theoretical State Of Mind,Coupe/Downes,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,0.5,40,0.2,F,GEMA,26,587,DEU,Germany,,,/,File: Mysteries of Mt. Shasta/Files of the Unexpla,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6698288,Elements - 1,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.02,40,0.01,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6718372,Perimeter Breach,Tenku,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.27,40,0.11,F,GEMA,26,587,DEU,Germany,,,/,Looking Out for Number 1/Formula 1: Drive to Survi,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6718372,Perimeter Breach,Tenku,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.1,40,0.04,F,GEMA,26,587,DEU,Germany,,,/,Three's a Crowd/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6737265,Rise To Glory,Groves/Ross,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,1.03,40,0.41,F,GEMA,26,587,DEU,Germany,,,/,Forza Ferrari/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6801943,Wolf Rock,Groves/Ross,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.32,40,0.13,F,GEMA,26,587,DEU,Germany,,,/,Episode 1/Zombieverse,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6089050,Sector 79,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,0.5,40,0.2,F,GEMA,26,587,DEU,Germany,,,/,We Need to Talk About Ferrari/Formula 1: Drive to,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6095728,Punching & Kicking,James,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,0.6,40,0.24,F,GEMA,26,587,DEU,Germany,,,/,A Point to Prove/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6107503,Hideout,Coupe/Downes,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,0.07,40,0.03,F,GEMA,26,587,DEU,Germany,,,/,Episode 9/Singles Inferno,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6192358,Cracked Actor,Poucher,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.23,40,0.09,F,GEMA,26,587,DEU,Germany,,,/,Matter of Principal/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6303367,Theoretical State Of Mind,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,0.45,40,0.18,F,GEMA,26,587,DEU,Germany,,,/,File: Mysteries of Mt. Shasta/Files of the Unexpla,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6719251,Wheelspin,R-S/Tenku,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.4,40,0.16,F,GEMA,26,587,DEU,Germany,,,/,Altima/Resurrected Rides,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6737820,The Solution,Ross,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.68,40,0.27,F,GEMA,26,587,DEU,Germany,,,/,Under Pressure/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6827319,Gamechanger,James,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,0.28,40,0.11,F,GEMA,26,587,DEU,Germany,,,/,Forza Ferrari/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087757,From On High,Groves,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.02,40,0.01,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6192515,Dirty Pursuit,Poucher,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.37,40,0.15,F,GEMA,26,587,DEU,Germany,,,/,Pardon My French/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6663238,Photonic,Groves,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.03,40,0.01,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6737265,Rise To Glory,Groves/Ross,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,0.9,40,0.36,F,GEMA,26,587,DEU,Germany,,,/,Red or Black/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6798258,Don't Let The Darkness Speak,Coupe/Downes,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.12,40,0.05,F,GEMA,26,587,DEU,Germany,,,/,Gaze/The Influencer,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087140,Closing Shot,Groves,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,0.45,40,0.18,F,GEMA,26,587,DEU,Germany,,,/,Civil War/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087682,Fishy Business,Leventis,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,0.33,40,0.13,F,GEMA,26,587,DEU,Germany,,,/,A Matter of Pact/Too Hot to Handle,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088707,Passage Of Time,Groves,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.5,40,0.2,F,GEMA,26,587,DEU,Germany,,,/,C'est la Vie/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6089732,Waiting Game,Groves/Marett,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,0.6,40,0.24,F,GEMA,26,587,DEU,Germany,,,/,Leap of Faith/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6106557,Crushed,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,0.58,40,0.23,F,GEMA,26,587,DEU,Germany,,,/,Pardon My French/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6126268,Rare Air,James,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,0.05,40,0.02,F,GEMA,26,587,DEU,Germany,,,/,Let Battle Commence/Six Nations: Full Contact,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6167086,Mentality,Binns,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.02,40,0.01,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6669211,There's Nothing Worse Than That,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,3.75,40,1.5,F,GEMA,26,587,DEU,Germany,,,/,die promis geraten an ihre grenzen!/the power,,,Joyn,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6718372,Perimeter Breach,Tenku,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,0.1,40,0.04,F,GEMA,26,587,DEU,Germany,,,/,Three's a Crowd/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6737578,Still Life,Ross,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.55,40,0.22,F,GEMA,26,587,DEU,Germany,,,/,Lost/Physical: 100,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6737578,Still Life,Ross,RMGE,BMG RM Germany,53,Video Download Perf.,Digital/New Media,,1,202507202509,50,0.12,40,0.05,F,GEMA,26,587,DEU,Germany,,,/,/Wick is Pain,,,Itunes,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087140,Closing Shot,Groves,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.02,40,0.01,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087389,Direct Hit,Groves/Marett,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.02,40,0.01,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6107901,Let Light,Groves,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,0.15,40,0.06,F,GEMA,26,587,DEU,Germany,,,/,One Last Chance/Break Point,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6108496,Overmorrow,Groves,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,0.37,40,0.15,F,GEMA,26,587,DEU,Germany,,,/,Alpha Male/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6109282,Syrup,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,0.15,40,0.06,F,GEMA,26,587,DEU,Germany,,,/,Daddy's Little Tall Girl/Indian Matchmaking,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
