Client Code,Client Name,Payee Code,Payee Name,Song Code,Song Title,Composers,Source Code,Source Name,Income Type,Income Type Name,Main Income Type Name,Catalogue No ,Units,Income Period,Percentage Collected by BMG,Amount Collected,Royalty Payout Percentage,Royalty Payable,Domestic Or Foreign Source Indicator,Foreign Source,Statement ID Year,Statement ID Number,Royalty Country Code,Royalty Country Description,Artist,ISRC,Album Or Production,Episode,License Number,Original Source As Received,Original Source
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087301,Dank,Coupe/Downes,PRCM,Prion Music Publishing,46,TV Performance,Performance,,0,202501202506,50,0.47,50,0.24,F,Prion Music Publishi,26,651,ISR,Israel,,,,,,YES SATELLITE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088707,Passage Of Time,Groves,KONG,Konga                               -for,46,TV Performance,Performance,,0,202507202512,0,0.01,50,0.01,F,Konga Music,26,820,ESP,Spain,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6095187,Elsewhere,Thomas/Trueman,MCPS,MCPS,35,Streaming Mechanical,Digital/New Media,,1289,202501202503,50,0.02,50,0.01,D,,25,3568,SVK,Slovakia,,,YOUTUBE/USAGE-A,,,Slovakian (SOZA) General & Broadcasting,Youtube
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6096167,Woven,Thomas/Trueman,KONG,Konga                               -for,46,TV Performance,Performance,,6,202507202512,0,0.1,50,0.05,F,Konga Music,26,820,ESP,Spain,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6070851,Drifter,Trueman,PRCM,Prion Music Publishing,46,TV Performance,Performance,,0,202501202506,50,0.22,50,0.11,F,Prion Music Publishi,26,651,ISR*,Israel,,,,,,NETFLIX,Netflix
