id,Client_Code,Client_Name,Payee_Code,Payee_Name,Song_Code,Song_Title,Composers,Source_Code,Source_Name,Income_Type,Income_Type_Name,Main_Income_Type_Name,Catalogue_No,Income_Period,Percentage_Collected_by_BMG,Amount_Collected,Royalty_Payout_Percentage,Royalty_Payable,Statement_ID_Year,Statement_ID_Number,Domestic_Or_Foreign_Source_Indicator,Foreign_Source,Royalty_Country_Code,Royalty_Country_Description,Artist,ISRC,Album_Or_Production,Episode,Licence_Number,Original_Source_As_Received,Original_Source,created_at,updated_at,Units,track_id,client_id,payee_id
69609,131337,Apache Music (PM),131337,Apache Music (PM),6087301,Dank,Coupe/Downes,PRCM,Prion Music Publishing,46,TV Performance,Performance,,202501202506,50.0,0.47,50.0,0.24,26,651,F,Prion Music Publishi,ISR,Israel,,,,,,YES SATELLITE,,2026-06-25 19:24:56.944250,2026-06-25 19:24:56.944282,0,2433,4,4
69610,131337,Apache Music (PM),131337,Apache Music (PM),6088707,Passage Of Time,Groves,KONG,Konga                               -for,46,TV Performance,Performance,,202507202512,0.0,0.01,50.0,0.01,26,820,F,Konga Music,ESP,Spain,,,,,,,,2026-06-25 19:24:56.980320,2026-06-25 19:24:56.980345,0,2434,4,4
69611,131337,Apache Music (PM),131337,Apache Music (PM),6095187,Elsewhere,Thomas/Trueman,MCPS,MCPS,35,Streaming Mechanical,Digital/New Media,,202501202503,50.0,0.02,50.0,0.01,25,3568,D,,SVK,Slovakia,,,YOUTUBE/USAGE-A,,,Slovakian (SOZA) General & Broadcasting,Youtube,2026-06-25 19:24:57.032176,2026-06-25 19:24:57.032202,1289,2435,4,4
69612,131337,Apache Music (PM),131337,Apache Music (PM),6096167,Woven,Thomas/Trueman,KONG,Konga                               -for,46,TV Performance,Performance,,202507202512,0.0,0.1,50.0,0.05,26,820,F,Konga Music,ESP,Spain,,,,,,,,2026-06-25 19:24:57.058326,2026-06-25 19:24:57.058349,6,2436,4,4
69613,131337,Apache Music (PM),131337,Apache Music (PM),6070851,Drifter,Trueman,PRCM,Prion Music Publishing,46,TV Performance,Performance,,202501202506,50.0,0.22,50.0,0.11,26,651,F,Prion Music Publishi,ISR,Israel,,,,,,NETFLIX,Netflix,2026-06-25 19:24:57.085585,2026-06-25 19:24:57.085609,0,2437,4,4
69614,131337,Apache Music (PM),131337,Apache Music (PM),6086653,A Long Trip Home,Thomas,MCPS,MCPS,1,Mechanicals,Mechanical,,202501202506,100.0,5.11,50.0,2.56,25,3568,D,,IRL,Ireland,,,"Rte Television Including Rte 1, Rte 2 And Non-Ephe",,,Irish Blanket,,2026-06-25 19:24:57.111754,2026-06-25 19:24:57.111778,0,2438,4,4
69615,131337,Apache Music (PM),131337,Apache Music (PM),6086692,Acceleration,Burns,KONG,Konga                               -for,5,Synchronization,Sync.,,202507202512,0.0,0.04,50.0,0.02,26,820,F,Konga Music,PRT,Portugal,,,,,,,,2026-06-25 19:24:57.145168,2026-06-25 19:24:57.145191,2,2439,4,4
69616,131337,Apache Music (PM),131337,Apache Music (PM),6088331,Lost Moon,Cousins,KONG,Konga                               -for,45,Radio Performance,Performance,,202507202512,0.0,0.01,50.0,0.01,26,820,F,Konga Music,ESP,Spain,,,,,,,,2026-06-25 19:24:57.179148,2026-06-25 19:24:57.179182,12,2440,4,4
69617,131337,Apache Music (PM),131337,Apache Music (PM),6086984,Breathe In,Coupe/Downes,PRCM,Prion Music Publishing,46,TV Performance,Performance,,202501202506,50.0,1.01,50.0,0.51,26,651,F,Prion Music Publishi,ISR,Israel,,,,,,YES SATELLITE,,2026-06-25 19:24:57.206123,2026-06-25 19:24:57.206148,0,2441,4,4
69618,131337,Apache Music (PM),131337,Apache Music (PM),6089119,Slalom,Groves/Marett,PCCL,"POINT Culture Co., Ltd",4,Performance,Performance,,202507202512,0.0,0.18,50.0,0.09,26,782,F,"POINT Culture Co., L",TWN,Taiwan,,,,,,,,2026-06-25 19:24:57.252266,2026-06-25 19:24:57.252291,0,2442,4,4
